Batter,Runs,Innings,BallsFaced,Boundaries,DotBalls,Matches,Average,StrikeRate,RunsPerInnings,RunsPerMatch,BoundaryPercentage,DotBallPercentage,TestScore,Format,ODIScore,T20Score
AC Cummins,21,3,23,2,11,3,7.0,91.30434782608695,7.0,7.0,0.08695652173913043,0.4782608695652174,,ODI,49.15217391304348,
AC Dawson,23,1,32,4,21,1,23.0,71.875,23.0,23.0,0.125,0.65625,,ODI,47.4375,
AC Evans,66,11,92,7,57,11,6.0,71.73913043478261,6.0,6.0,0.07608695652173914,0.6195652173913043,,ODI,38.869565217391305,
AC Gilchrist,4355,118,4260,631,2344,118,36.90677966101695,102.2300469483568,36.90677966101695,36.90677966101695,0.14812206572769954,0.5502347417840375,,ODI,69.56841330468687,
AC Jayangani,3151,85,4114,453,2556,85,37.07058823529412,76.59212445308702,37.07058823529412,37.07058823529412,0.11011181332036947,0.6212931453573165,,ODI,56.83135634419057,
AC Kerr,2131,71,2856,212,1555,71,30.014084507042252,74.61484593837535,30.014084507042252,30.014084507042252,0.0742296918767507,0.5444677871148459,,ODI,52.314465222708805,
AC Voges,798,27,956,64,441,27,29.555555555555557,83.47280334728033,29.555555555555557,29.555555555555557,0.06694560669456066,0.46129707112970714,,ODI,56.514179451417945,
AD Hales,2330,65,2483,315,1337,65,35.84615384615385,93.83809907370116,35.84615384615385,35.84615384615385,0.12686266612968183,0.5384615384615384,,ODI,64.8421264599275,
AD Janakanthymala,1,2,15,0,14,2,0.5,6.666666666666667,0.5,0.5,0.0,0.9333333333333333,,ODI,3.5833333333333335,
AD Mascarenhas,245,13,262,25,135,13,18.846153846153847,93.51145038167938,18.846153846153847,18.846153846153847,0.09541984732824428,0.5152671755725191,,ODI,56.17880211391662,
AD Mathews,5646,184,6934,539,3513,184,30.684782608695652,81.4248629939429,30.684782608695652,30.684782608695652,0.07773291029708682,0.5066339775021632,,ODI,56.054822801319276,
AD Poynter,65,6,134,5,90,6,10.833333333333334,48.507462686567166,10.833333333333334,10.833333333333334,0.03731343283582089,0.6716417910447762,,ODI,29.67039800995025,
AD Russell,1034,47,805,151,387,47,22.0,128.4472049689441,22.0,22.0,0.18757763975155278,0.48074534161490684,,ODI,75.22360248447205,
ADJ Pitcher,8,1,12,1,10,1,8.0,66.66666666666666,8.0,8.0,0.08333333333333333,0.8333333333333334,,ODI,37.33333333333333,
ADR Campbell,7,1,25,0,19,1,7.0,28.000000000000004,7.0,7.0,0.0,0.76,,ODI,17.5,
ADS Fletcher,305,23,503,42,361,23,13.26086956521739,60.63618290258449,13.26086956521739,13.26086956521739,0.08349900596421471,0.7176938369781312,,ODI,36.948526233900935,
AE Jones,2593,85,3043,318,1615,85,30.50588235294118,85.21196187972396,30.50588235294118,30.50588235294118,0.1045021360499507,0.5307262569832403,,ODI,57.858922116332565,
AE Satterthwaite,2895,66,3618,318,1909,66,43.86363636363637,80.01658374792703,43.86363636363637,43.86363636363637,0.087893864013267,0.5276395798783858,,ODI,61.9401100557817,
AE Smith,45,1,30,4,8,1,45.0,150.0,45.0,45.0,0.13333333333333333,0.26666666666666666,,ODI,97.5,
AF Buurman,26,2,34,4,22,2,13.0,76.47058823529412,13.0,13.0,0.11764705882352941,0.6470588235294118,,ODI,44.73529411764706,
AF Giles,288,19,392,25,208,19,15.157894736842104,73.46938775510205,15.157894736842104,15.157894736842104,0.06377551020408163,0.5306122448979592,,ODI,44.31364124597208,
AF Milne,180,22,211,15,103,22,8.181818181818182,85.30805687203792,8.181818181818182,8.181818181818182,0.07109004739336493,0.4881516587677725,,ODI,46.744937526928055,
AF Sattaur,20,3,63,1,50,3,6.666666666666667,31.746031746031743,6.666666666666667,6.666666666666667,0.015873015873015872,0.7936507936507936,,ODI,19.206349206349206,
AG Cremer,507,49,897,34,549,49,10.346938775510203,56.52173913043478,10.346938775510203,10.346938775510203,0.0379041248606466,0.6120401337792643,,ODI,33.434338952972496,
AG Prince,761,33,1126,54,617,33,23.060606060606062,67.58436944937833,23.060606060606062,23.060606060606062,0.047957371225577264,0.5479573712255773,,ODI,45.322487754992196,
AG Puttick,0,1,5,0,5,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
AG Wharf,19,5,29,1,18,5,3.8,65.51724137931035,3.8,3.8,0.034482758620689655,0.6206896551724138,,ODI,34.65862068965517,
AGC Vimukthi,7,2,28,0,22,2,3.5,25.0,3.5,3.5,0.0,0.7857142857142857,,ODI,14.25,
AGS Gous,415,13,484,54,282,13,31.923076923076923,85.74380165289256,31.923076923076923,31.923076923076923,0.1115702479338843,0.5826446280991735,,ODI,58.83343928798474,
AH Maqsood,20,8,50,0,33,8,2.5,40.0,2.5,2.5,0.0,0.66,,ODI,21.25,
AH Thomson,16,2,37,1,27,2,8.0,43.24324324324324,8.0,8.0,0.02702702702702703,0.7297297297297297,,ODI,25.62162162162162,
AI Chudasama,121,7,173,8,92,7,17.285714285714285,69.94219653179191,17.285714285714285,17.285714285714285,0.046242774566473986,0.5317919075144508,,ODI,43.6139554087531,
AJ Bichel,258,14,291,25,143,14,18.428571428571427,88.65979381443299,18.428571428571427,18.428571428571427,0.0859106529209622,0.49140893470790376,,ODI,53.54418262150221,
AJ Blackwell,953,33,1258,100,676,33,28.87878787878788,75.75516693163752,28.87878787878788,28.87878787878788,0.0794912559618442,0.5373608903020668,,ODI,52.3169774052127,
AJ Burger,199,6,204,28,116,6,33.166666666666664,97.54901960784314,33.166666666666664,33.166666666666664,0.13725490196078433,0.5686274509803921,,ODI,65.3578431372549,
AJ Finch,5188,139,6135,631,3508,139,37.32374100719424,84.56397718011411,37.32374100719424,37.32374100719424,0.10285248573757132,0.571801140994295,,ODI,60.943859093654176,
AJ Hall,387,28,464,36,233,28,13.821428571428571,83.40517241379311,13.821428571428571,13.821428571428571,0.07758620689655173,0.5021551724137931,,ODI,48.61330049261084,
AJ Healy,3338,95,3389,507,1817,95,35.136842105263156,98.49513130717025,35.136842105263156,35.136842105263156,0.1496016524048392,0.5361463558571851,,ODI,66.8159867062167,
AJ Hosein,309,30,409,30,229,30,10.3,75.55012224938875,10.3,10.3,0.07334963325183375,0.5599022004889975,,ODI,42.92506112469437,
AJ Ireland,12,7,64,1,55,7,1.7142857142857142,18.75,1.7142857142857142,1.7142857142857142,0.015625,0.859375,,ODI,10.232142857142858,
AJ Kenealy,39,6,95,6,78,6,6.5,41.05263157894737,6.5,6.5,0.06315789473684211,0.8210526315789474,,ODI,23.776315789473685,
AJ McKay,12,9,47,0,37,9,1.3333333333333333,25.53191489361702,1.3333333333333333,1.3333333333333333,0.0,0.7872340425531915,,ODI,13.432624113475176,
AJ Redmond,152,6,266,19,182,6,25.333333333333332,57.14285714285714,25.333333333333332,25.333333333333332,0.07142857142857142,0.6842105263157895,,ODI,41.238095238095234,
AJ Stewart,398,12,547,33,295,12,33.166666666666664,72.76051188299817,33.166666666666664,33.166666666666664,0.0603290676416819,0.5393053016453382,,ODI,52.963589274832415,
AJ Strauss,3729,112,4732,425,2686,112,33.294642857142854,78.80388841927304,33.294642857142854,33.294642857142854,0.08981403212172442,0.5676246830092984,,ODI,56.04926563820794,
AJ Turner,192,7,165,20,68,7,27.428571428571427,116.36363636363636,27.428571428571427,27.428571428571427,0.12121212121212122,0.4121212121212121,,ODI,71.8961038961039,
AJ Tye,57,7,48,7,24,7,8.142857142857142,118.75,8.142857142857142,8.142857142857142,0.14583333333333334,0.5,,ODI,63.44642857142857,
AK Maguire,27,9,41,2,24,9,3.0,65.85365853658537,3.0,3.0,0.04878048780487805,0.5853658536585366,,ODI,34.426829268292686,
AK Markram,2539,76,2646,320,1328,76,33.4078947368421,95.95616024187453,33.4078947368421,33.4078947368421,0.12093726379440665,0.5018896447467877,,ODI,64.68202748935832,
AK Perera,52,4,83,3,47,4,13.0,62.65060240963856,13.0,13.0,0.03614457831325301,0.5662650602409639,,ODI,37.82530120481928,
AK Peters,6,4,29,0,24,4,1.5,20.689655172413794,1.5,1.5,0.0,0.8275862068965517,,ODI,11.094827586206897,
AK Sah,322,14,382,46,230,14,23.0,84.29319371727748,23.0,23.0,0.12041884816753927,0.6020942408376964,,ODI,53.64659685863874,
AL Hodgkinson,121,3,169,9,96,3,40.333333333333336,71.59763313609467,40.333333333333336,40.333333333333336,0.05325443786982249,0.5680473372781065,,ODI,55.965483234714,
AL Kandappah,97,2,159,7,92,2,48.5,61.0062893081761,48.5,48.5,0.0440251572327044,0.5786163522012578,,ODI,54.75314465408805,
AL Phehlukwayo,827,52,996,106,584,52,15.903846153846153,83.03212851405623,15.903846153846153,15.903846153846153,0.10642570281124498,0.5863453815261044,,ODI,49.467987333951186,
AL Watkins,0,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
AM Bacher,102,5,181,12,125,5,20.4,56.353591160220994,20.4,20.4,0.06629834254143646,0.6906077348066298,,ODI,38.376795580110496,
AM Blignaut,284,20,264,38,128,20,14.2,107.57575757575756,14.2,14.2,0.14393939393939395,0.48484848484848486,,ODI,60.88787878787878,
AM Ellis,154,12,189,12,86,12,12.833333333333334,81.48148148148148,12.833333333333334,12.833333333333334,0.06349206349206349,0.455026455026455,,ODI,47.157407407407405,
AM Fernando,7,10,32,0,26,10,0.7,21.875,0.7,0.7,0.0,0.8125,,ODI,11.2875,
AM Guruge,14,2,26,1,18,2,7.0,53.84615384615385,7.0,7.0,0.038461538461538464,0.6923076923076923,,ODI,30.423076923076923,
AM Hardie,180,12,227,18,120,12,15.0,79.29515418502203,15.0,15.0,0.07929515418502203,0.5286343612334802,,ODI,47.147577092511014,
AM McCarthy,15,2,41,1,31,2,7.5,36.58536585365854,7.5,7.5,0.024390243902439025,0.7560975609756098,,ODI,22.04268292682927,
AM Nayar,0,1,7,0,7,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
AM Peterson,167,12,211,17,119,12,13.916666666666666,79.14691943127961,13.916666666666666,13.916666666666666,0.08056872037914692,0.5639810426540285,,ODI,46.53179304897314,
AM Phangiso,81,12,164,5,109,12,6.75,49.390243902439025,6.75,6.75,0.03048780487804878,0.6646341463414634,,ODI,28.070121951219512,
AM Rahane,2906,86,3812,322,2138,86,33.7906976744186,76.23294858342078,33.7906976744186,33.7906976744186,0.0844700944386149,0.5608604407135362,,ODI,55.01182312891969,
AM Samad,226,10,382,24,256,10,22.6,59.16230366492147,22.6,22.6,0.06282722513089005,0.6701570680628273,,ODI,40.88115183246073,
AM Tribe,233,4,310,22,174,4,58.25,75.16129032258064,58.25,58.25,0.07096774193548387,0.5612903225806452,,ODI,66.70564516129032,
AN Cook,3204,91,4238,373,2493,91,35.20879120879121,75.60169891458234,35.20879120879121,35.20879120879121,0.08801321378008495,0.5882491741387447,,ODI,55.40524506168678,
AN Davidson-Richards,160,7,193,10,79,7,22.857142857142858,82.90155440414507,22.857142857142858,22.857142857142858,0.05181347150259067,0.40932642487046633,,ODI,52.87934863064397,
AN Kelly,422,33,652,36,375,33,12.787878787878787,64.7239263803681,12.787878787878787,12.787878787878787,0.05521472392638037,0.5751533742331288,,ODI,38.75590258412344,
AN Kervezee,110,9,204,13,145,9,12.222222222222221,53.92156862745098,12.222222222222221,12.222222222222221,0.06372549019607843,0.7107843137254902,,ODI,33.0718954248366,
AN Petersen,498,18,610,56,330,18,27.666666666666668,81.63934426229508,27.666666666666668,27.666666666666668,0.09180327868852459,0.5409836065573771,,ODI,54.65300546448088,
AO Suji,42,6,93,4,64,6,7.0,45.16129032258064,7.0,7.0,0.043010752688172046,0.6881720430107527,,ODI,26.08064516129032,
AP Devcich,195,11,262,25,156,11,17.727272727272727,74.42748091603053,17.727272727272727,17.727272727272727,0.09541984732824428,0.5954198473282443,,ODI,46.077376821651626,
APC Kilowan,21,1,17,2,6,1,21.0,123.52941176470588,21.0,21.0,0.11764705882352941,0.35294117647058826,,ODI,72.26470588235294,
APS Lakshika,0,1,4,0,4,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
AR Adams,165,12,154,21,84,12,13.75,107.14285714285714,13.75,13.75,0.13636363636363635,0.5454545454545454,,ODI,60.44642857142857,
AR Berenger,53,6,115,7,90,6,8.833333333333334,46.08695652173913,8.833333333333334,8.833333333333334,0.06086956521739131,0.782608695652174,,ODI,27.460144927536234,
AR Bisht,15,2,26,1,16,2,7.5,57.692307692307686,7.5,7.5,0.038461538461538464,0.6153846153846154,,ODI,32.59615384615384,
AR Caddick,64,10,118,4,75,10,6.4,54.23728813559322,6.4,6.4,0.03389830508474576,0.635593220338983,,ODI,30.31864406779661,
AR Cusack,264,23,422,25,259,23,11.478260869565217,62.55924170616114,11.478260869565217,11.478260869565217,0.05924170616113744,0.6137440758293838,,ODI,37.018751287863175,
AR McBrine,812,47,1110,96,673,47,17.27659574468085,73.15315315315316,17.27659574468085,17.27659574468085,0.08648648648648649,0.6063063063063063,,ODI,45.214874448917,
AR Nurse,454,35,464,52,221,35,12.971428571428572,97.84482758620689,12.971428571428572,12.971428571428572,0.11206896551724138,0.47629310344827586,,ODI,55.40812807881773,
AR Odedara,137,5,325,14,243,5,27.4,42.15384615384615,27.4,27.4,0.043076923076923075,0.7476923076923077,,ODI,34.776923076923076,
AR Patel,858,49,969,84,464,49,17.510204081632654,88.54489164086688,17.510204081632654,17.510204081632654,0.08668730650154799,0.478844169246646,,ODI,53.027547861249765,
AR Pitcher,30,1,55,3,40,1,30.0,54.54545454545454,30.0,30.0,0.05454545454545454,0.7272727272727273,,ODI,42.272727272727266,
AR White,301,23,498,23,298,23,13.08695652173913,60.44176706827309,13.08695652173913,13.08695652173913,0.04618473895582329,0.5983935742971888,,ODI,36.76436179500611,
ARI Umeed,138,4,139,21,80,4,34.5,99.28057553956835,34.5,34.5,0.1510791366906475,0.5755395683453237,,ODI,66.89028776978418,
AS Hansra,295,14,538,26,358,14,21.071428571428573,54.832713754646846,21.071428571428573,21.071428571428573,0.048327137546468404,0.6654275092936803,,ODI,37.95207116303771,
AS Joseph,461,44,623,56,398,44,10.477272727272727,73.99678972712681,10.477272727272727,10.477272727272727,0.0898876404494382,0.6388443017656501,,ODI,42.237031227199765,
AS Luseno,0,2,3,0,3,2,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
AS Tanke,41,2,89,5,68,2,20.5,46.06741573033708,20.5,20.5,0.056179775280898875,0.7640449438202247,,ODI,33.28370786516854,
AS van Beuge,68,7,196,3,145,7,9.714285714285714,34.69387755102041,9.714285714285714,9.714285714285714,0.015306122448979591,0.7397959183673469,,ODI,22.20408163265306,
ASS Fletcher,358,46,522,35,299,46,7.782608695652174,68.5823754789272,7.782608695652174,7.782608695652174,0.06704980842911877,0.5727969348659003,,ODI,38.18249208728969,
AT Carey,2245,77,2533,237,1246,77,29.155844155844157,88.63008290564548,29.155844155844157,29.155844155844157,0.09356494275562574,0.49190682984603235,,ODI,58.89296353074482,
AT Nidamanuru,893,37,1003,91,513,37,24.135135135135137,89.03290129611166,24.135135135135137,24.135135135135137,0.09072781655034895,0.5114656031904287,,ODI,56.5840182156234,
AT Rayudu,1637,49,2143,167,1151,49,33.40816326530612,76.38824078394774,33.40816326530612,33.40816326530612,0.07792813812412505,0.5370975268315445,,ODI,54.898202024626926,
ATS Silva,1,1,1,0,0,1,1.0,100.0,1.0,1.0,0.0,0.0,,ODI,50.5,
AU Rashid,941,81,1041,106,525,81,11.617283950617283,90.39385206532181,11.617283950617283,11.617283950617283,0.10182516810758886,0.5043227665706052,,ODI,51.00556800796954,
AV Lalcheta,18,2,49,1,36,2,9.0,36.734693877551024,9.0,9.0,0.02040816326530612,0.7346938775510204,,ODI,22.867346938775512,
AWJ Auguste,56,4,83,7,54,4,14.0,67.46987951807229,14.0,14.0,0.08433734939759036,0.6506024096385542,,ODI,40.734939759036145,
AY Karim,0,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
Aaditya Varadarajan,36,3,66,1,38,3,12.0,54.54545454545454,12.0,12.0,0.015151515151515152,0.5757575757575758,,ODI,33.272727272727266,
Aamer Jamal,5,2,9,1,7,2,2.5,55.55555555555556,2.5,2.5,0.1111111111111111,0.7777777777777778,,ODI,29.02777777777778,
Aamer Yamin,95,3,101,13,58,3,31.666666666666668,94.05940594059405,31.666666666666668,31.666666666666668,0.12871287128712872,0.5742574257425742,,ODI,62.86303630363036,
Aamir Kaleem,160,13,271,24,197,13,12.307692307692308,59.040590405904055,12.307692307692308,12.307692307692308,0.08856088560885608,0.7269372693726938,,ODI,35.67414135679818,
Aarif Sheikh,1319,52,2040,106,1159,52,25.365384615384617,64.65686274509804,25.365384615384617,25.365384615384617,0.05196078431372549,0.5681372549019608,,ODI,45.011123680241326,
Aaron Jones,1620,51,2287,146,1302,51,31.764705882352942,70.83515522518583,31.764705882352942,31.764705882352942,0.06383909051158723,0.5693047660690861,,ODI,51.299930553769386,
Aasif Sheikh,1578,60,2153,200,1351,60,26.3,73.29307942405944,26.3,26.3,0.09289363678588017,0.6274965164886205,,ODI,49.79653971202972,
Aayan Afzal Khan,595,34,829,68,495,34,17.5,71.77322074788903,17.5,17.5,0.08202653799758745,0.5971049457177322,,ODI,44.636610373944514,
Abdul Jabbar,59,2,86,10,61,2,29.5,68.6046511627907,29.5,29.5,0.11627906976744186,0.7093023255813954,,ODI,49.05232558139535,
Abdul Razzaq,2327,100,2689,241,1425,100,23.27,86.53774637411678,23.27,23.27,0.08962439568612868,0.5299367794719226,,ODI,54.90387318705839,
Abdul Samad,11,2,13,1,7,2,5.5,84.61538461538461,5.5,5.5,0.07692307692307693,0.5384615384615384,,ODI,45.05769230769231,
Abdul Shakoor,34,2,66,3,44,2,17.0,51.515151515151516,17.0,17.0,0.045454545454545456,0.6666666666666666,,ODI,34.25757575757576,
Abdullah Shafique,679,26,899,79,541,26,26.115384615384617,75.52836484983315,26.115384615384617,26.115384615384617,0.0878754171301446,0.6017797552836485,,ODI,50.82187473260888,
Abdur Razzak,644,79,880,64,520,79,8.151898734177216,73.18181818181819,8.151898734177216,8.151898734177216,0.07272727272727272,0.5909090909090909,,ODI,40.666858457997705,
Abdur Rehman,132,22,234,11,150,22,6.0,56.41025641025641,6.0,6.0,0.04700854700854701,0.6410256410256411,,ODI,31.205128205128204,
Abid Ali,234,6,257,29,136,6,39.0,91.05058365758755,39.0,39.0,0.11284046692607004,0.5291828793774319,,ODI,65.02529182879377,
Abrar Ahmed,28,5,30,5,17,5,5.6,93.33333333333333,5.6,5.6,0.16666666666666666,0.5666666666666667,,ODI,49.46666666666666,
Abul Hasan,11,3,16,1,9,3,3.6666666666666665,68.75,3.6666666666666665,3.6666666666666665,0.0625,0.5625,,ODI,36.208333333333336,
Adeel Raja,13,5,76,1,66,5,2.6,17.105263157894736,2.6,2.6,0.013157894736842105,0.868421052631579,,ODI,9.852631578947369,
Adnan Akmal,62,4,92,3,45,4,15.5,67.3913043478261,15.5,15.5,0.03260869565217391,0.4891304347826087,,ODI,41.44565217391305,
Adnan Mufti,328,15,413,28,198,15,21.866666666666667,79.41888619854721,21.866666666666667,21.866666666666667,0.06779661016949153,0.4794188861985472,,ODI,50.64277643260694,
Afif Hossain,562,25,646,63,328,25,22.48,86.9969040247678,22.48,22.48,0.09752321981424149,0.5077399380804953,,ODI,54.7384520123839,
Aftab Ahmed,1061,55,1451,138,915,55,19.29090909090909,73.12198483804274,19.29090909090909,19.29090909090909,0.09510682288077188,0.6305995864920745,,ODI,46.206446964475916,
Afzaal Haider,0,1,10,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
Agha Salman,1373,38,1466,144,688,38,36.13157894736842,93.65620736698499,36.13157894736842,36.13157894736842,0.09822646657571624,0.4693042291950887,,ODI,64.8938931571767,
Ahmed Raza,391,36,645,36,410,36,10.86111111111111,60.62015503875969,10.86111111111111,10.86111111111111,0.05581395348837209,0.6356589147286822,,ODI,35.7406330749354,
Ahmed Shehzad,2555,80,3623,280,2210,80,31.9375,70.52166712669059,31.9375,31.9375,0.07728401876897599,0.6099917195694176,,ODI,51.229583563345294,
Ahsan Malik,4,2,12,0,8,2,2.0,33.33333333333333,2.0,2.0,0.0,0.6666666666666666,,ODI,17.666666666666664,
Aijaz Ali,5,2,11,1,9,2,2.5,45.45454545454545,2.5,2.5,0.09090909090909091,0.8181818181818182,,ODI,23.977272727272727,
Aiman Anwer,15,5,20,1,9,5,3.0,75.0,3.0,3.0,0.05,0.45,,ODI,39.0,
Aizaz Cheema,26,6,45,2,28,6,4.333333333333333,57.77777777777777,4.333333333333333,4.333333333333333,0.044444444444444446,0.6222222222222222,,ODI,31.055555555555554,
Aizaz Khan,143,10,216,17,140,10,14.3,66.20370370370371,14.3,14.3,0.0787037037037037,0.6481481481481481,,ODI,40.25185185185185,
Akeem Jordan,3,1,6,0,3,1,3.0,50.0,3.0,3.0,0.0,0.5,,ODI,26.5,
Akhil Kumar,26,4,39,3,27,4,6.5,66.66666666666666,6.5,6.5,0.07692307692307693,0.6923076923076923,,ODI,36.58333333333333,
Akif Javed,10,3,14,2,10,3,3.3333333333333335,71.42857142857143,3.3333333333333335,3.3333333333333335,0.14285714285714285,0.7142857142857143,,ODI,37.38095238095238,
Akram Khan,57,2,102,3,63,2,28.5,55.88235294117647,28.5,28.5,0.029411764705882353,0.6176470588235294,,ODI,42.19117647058823,
Akshay Homraj,159,8,230,13,137,8,19.875,69.1304347826087,19.875,19.875,0.05652173913043478,0.5956521739130435,,ODI,44.50271739130435,
Al Maseera Jahangir,31,3,72,2,50,3,10.333333333333334,43.05555555555556,10.333333333333334,10.333333333333334,0.027777777777777776,0.6944444444444444,,ODI,26.694444444444446,
Al Sahariar,44,6,102,6,81,6,7.333333333333333,43.13725490196079,7.333333333333333,7.333333333333333,0.058823529411764705,0.7941176470588235,,ODI,25.23529411764706,
Al-Amin Hossain,4,6,20,0,16,6,0.6666666666666666,20.0,0.6666666666666666,0.6666666666666666,0.0,0.8,,ODI,10.333333333333334,
Alawi Shukri,1,1,3,0,2,1,1.0,33.33333333333333,1.0,1.0,0.0,0.6666666666666666,,ODI,17.166666666666664,
Ali Khan,20,9,35,1,22,9,2.2222222222222223,57.14285714285714,2.2222222222222223,2.2222222222222223,0.02857142857142857,0.6285714285714286,,ODI,29.68253968253968,
Ali Nadeem,69,3,114,9,83,3,23.0,60.526315789473685,23.0,23.0,0.07894736842105263,0.7280701754385965,,ODI,41.76315789473684,
Ali Naseer,396,17,399,52,217,17,23.294117647058822,99.24812030075188,23.294117647058822,23.294117647058822,0.13032581453634084,0.543859649122807,,ODI,61.27111897390535,
Aliya Riaz,1535,67,2363,165,1468,67,22.91044776119403,64.95979686838764,22.91044776119403,22.91044776119403,0.06982649174777825,0.6212441811256877,,ODI,43.93512231479083,
Alok Kapali,613,37,910,59,543,37,16.56756756756757,67.36263736263737,16.56756756756757,16.56756756756757,0.06483516483516484,0.5967032967032967,,ODI,41.96510246510247,
Aman Ali,0,1,2,0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,,ODI,0.0,
Amir Hayat,31,5,74,2,51,5,6.2,41.891891891891895,6.2,6.2,0.02702702702702703,0.6891891891891891,,ODI,24.04594594594595,
Amjad Ali,249,10,387,33,261,10,24.9,64.34108527131784,24.9,24.9,0.08527131782945736,0.6744186046511628,,ODI,44.62054263565892,
Amjad Javed,238,12,267,36,169,12,19.833333333333332,89.13857677902621,19.833333333333332,19.833333333333332,0.1348314606741573,0.6329588014981273,,ODI,54.48595505617977,
Anam Amin,28,11,105,1,82,11,2.5454545454545454,26.666666666666668,2.5454545454545454,2.5454545454545454,0.009523809523809525,0.780952380952381,,ODI,14.606060606060607,
Anamul Haque,1322,44,1785,159,1073,44,30.045454545454547,74.06162464985995,30.045454545454547,30.045454545454547,0.08907563025210084,0.6011204481792717,,ODI,52.05353959765725,
Ankur Sharma,16,1,31,1,19,1,16.0,51.61290322580645,16.0,16.0,0.03225806451612903,0.6129032258064516,,ODI,33.806451612903224,
Anop Santosh,2,1,9,0,7,1,2.0,22.22222222222222,2.0,2.0,0.0,0.7777777777777778,,ODI,12.11111111111111,
Ansh Tandon,10,1,18,1,11,1,10.0,55.55555555555556,10.0,10.0,0.05555555555555555,0.6111111111111112,,ODI,32.77777777777778,
Anshuman Rath,393,12,539,39,303,12,32.75,72.91280148423006,32.75,32.75,0.07235621521335807,0.562152133580705,,ODI,52.83140074211503,
Anwar Ali,300,15,339,34,180,15,20.0,88.49557522123894,20.0,20.0,0.10029498525073746,0.5309734513274337,,ODI,54.24778761061947,
Aqib Ilyas,1191,29,1648,125,954,29,41.06896551724138,72.26941747572816,41.06896551724138,41.06896551724138,0.07584951456310679,0.5788834951456311,,ODI,56.66919149648477,
Arafat Sunny,48,10,94,5,64,10,4.8,51.06382978723404,4.8,4.8,0.05319148936170213,0.6808510638297872,,ODI,27.93191489361702,
Arshad Ali,47,2,90,5,61,2,23.5,52.22222222222223,23.5,23.5,0.05555555555555555,0.6777777777777778,,ODI,37.861111111111114,
Arshad Khan,14,2,17,1,8,2,7.0,82.35294117647058,7.0,7.0,0.058823529411764705,0.47058823529411764,,ODI,44.67647058823529,
Arshdeep Singh,56,9,53,7,30,9,6.222222222222222,105.66037735849056,6.222222222222222,6.222222222222222,0.1320754716981132,0.5660377358490566,,ODI,55.941299790356396,
Aryan Lakra,387,16,681,39,455,16,24.1875,56.82819383259912,24.1875,24.1875,0.05726872246696035,0.6681350954478708,,ODI,40.507846916299556,
Asad Ali,13,2,16,1,10,2,6.5,81.25,6.5,6.5,0.0625,0.625,,ODI,43.875,
Asad Shafiq,1312,56,1986,107,1133,56,23.428571428571427,66.06243705941591,23.428571428571427,23.428571428571427,0.05387713997985901,0.5704934541792548,,ODI,44.74550424399367,
Ashfaq Ahmed,343,15,395,47,234,15,22.866666666666667,86.83544303797468,22.866666666666667,22.866666666666667,0.1189873417721519,0.5924050632911393,,ODI,54.85105485232067,
Asif Ali,375,15,317,42,132,15,25.0,118.29652996845425,25.0,25.0,0.13249211356466878,0.416403785488959,,ODI,71.64826498422713,
Asif Iqbal (1),8,1,8,2,6,1,8.0,100.0,8.0,8.0,0.25,0.75,,ODI,54.0,
Asif Khan,1270,37,1606,145,943,37,34.32432432432432,79.07845579078456,34.32432432432432,34.32432432432432,0.09028642590286426,0.587173100871731,,ODI,56.70139005755444,
Asmavia Iqbal,225,22,430,23,291,22,10.227272727272727,52.32558139534884,10.227272727272727,10.227272727272727,0.053488372093023255,0.6767441860465117,,ODI,31.276427061310784,
Avesh Khan,23,4,30,3,19,4,5.75,76.66666666666667,5.75,5.75,0.1,0.6333333333333333,,ODI,41.208333333333336,
Ayan Khan,948,35,1294,102,753,35,27.085714285714285,73.2612055641422,27.085714285714285,27.085714285714285,0.07882534775888717,0.5819165378670789,,ODI,50.173459924928245,
Ayasha Rahman,122,3,209,13,137,3,40.666666666666664,58.3732057416268,40.666666666666664,40.666666666666664,0.06220095693779904,0.6555023923444976,,ODI,49.51993620414673,
Ayesha Naseem,33,4,40,4,24,4,8.25,82.5,8.25,8.25,0.1,0.6,,ODI,45.375,
Ayesha Zafar,587,30,966,72,629,30,19.566666666666666,60.76604554865425,19.566666666666666,19.566666666666666,0.07453416149068323,0.6511387163561076,,ODI,40.166356107660455,
Azhar Ali,1806,52,2478,178,1370,52,34.73076923076923,72.88135593220339,34.73076923076923,34.73076923076923,0.07183212267958031,0.552865213882163,,ODI,53.806062581486316,
Azhar Mahmood,126,9,164,13,96,9,14.0,76.82926829268293,14.0,14.0,0.07926829268292683,0.5853658536585366,,ODI,45.41463414634146,
B Bezuidenhout,266,13,370,26,211,13,20.46153846153846,71.89189189189189,20.46153846153846,20.46153846153846,0.07027027027027027,0.5702702702702702,,ODI,46.17671517671518,
